generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
224,20,240996.861645829,339351.84410224715,38191.06842241089,138275.8592001272
225,20,240996.861645829,338907.278299396,38191.06842241089,138315.07627972122
226,20,240996.861645829,338907.27829939604,38191.06842241089,138315.07627972122
227,20,240996.861645829,340565.6421019411,38191.06842241089,137039.46000674495
228,20,240996.861645829,340565.64210194105,38191.06842241089,137039.46000674492
229,20,240996.861645829,344469.47212208016,38191.06842241089,135330.45581149848
230,20,240996.861645829,346972.4572212862,38191.06842241089,130007.84686850043
231,20,240996.861645829,344854.9015111661,38191.06842241089,134710.68274017161
232,20,240996.861645829,337233.6010657761,38191.06842241089,142199.35669216936
233,20,240996.861645829,341752.4070410098,38191.06842241089,135619.92379580814
234,20,240996.861645829,350560.10021584074,38191.06842241089,128253.94729935381
235,20,240996.861645829,343700.54988881754,38191.06842241089,135883.8013538234
236,20,240996.861645829,343896.4428506314,38191.06842241089,135809.92959942398
237,20,240996.861645829,344961.82375441777,38191.06842241089,135189.8776779104
238,20,240996.861645829,346689.36343664303,38191.06842241089,134435.6103342762
239,20,240996.861645829,346689.36343664303,38191.06842241089,134435.61033427622
240,20,240996.861645829,340008.5116680362,38191.06842241089,139924.52045304896
241,20,240996.861645829,346170.1998420941,38191.06842241089,130662.47623536845
242,20,240996.861645829,340111.6692033941,38191.06842241089,136199.05179530795
243,20,240996.861645829,348733.5538303742,38191.06842241089,129797.04279320754
244,20,240996.861645829,348875.0745800311,38191.06842241089,129743.53683043717
245,20,240996.861645829,349403.1034002743,38191.06842241089,128910.9981098917
246,20,240996.861645829,349881.14365708234,38191.06842241089,127960.20844622856
247,20,240996.861645829,351129.1349803466,38191.06842241089,126282.02207656406
248,20,240996.861645829,352940.06139196275,38191.06842241089,126350.4085358198
249,20,240996.861645829,348911.1351164693,38191.06842241089,127562.44206052161
250,20,240996.861645829,338172.76211320196,38191.06842241089,140214.7404347847
251,20,240996.861645829,334561.3932674311,38191.06842241089,145329.08846140746
252,20,240996.861645829,343314.5127107306,38191.06842241089,138717.57135519903
253,20,240996.861645829,341597.89293743356,38191.06842241089,139456.27742618916
254,20,240996.861645829,341772.6254374185,38191.06842241089,139325.86393860326
255,20,240996.861645829,349164.7565196142,38191.06842241089,130385.74297765605
256,20,240996.861645829,339319.88055560645,38191.06842241089,140301.03677739552
257,20,240996.861645829,339510.0348475515,38191.06842241089,140125.01165215948
258,20,240996.861645829,342396.1342506669,38191.06842241089,139106.90357718113
259,20,240996.861645829,341907.62059777835,38191.06842241089,139202.17507227097
260,20,240996.861645829,341423.23550157086,38191.06842241089,139506.49927281545
261,20,240996.861645829,341423.23550157086,38191.06842241089,139506.49927281548
262,20,240996.861645829,341304.0924189143,38191.06842241089,139283.23037617648
263,20,240996.861645829,341304.0924189143,38191.06842241089,139283.23037617648
264,20,240996.861645829,341258.07322237303,38191.06842241089,137558.32444277478
265,20,240996.861645829,343548.7423000225,38191.06842241089,133734.0508442875
266,20,240996.861645829,343088.1147756303,38191.06842241089,134337.6058589413
267,20,240996.861645829,343088.40426485083,38191.06842241089,134614.07088781518
268,20,240996.861645829,344440.03682595666,38191.06842241089,132568.76580986762
269,20,240996.861645829,333535.3638606953,38191.06842241089,143488.27986427819
270,20,240996.861645829,341088.9275264041,38191.06842241089,137985.6879173782
271,20,240996.861645829,347733.5395349318,38191.06842241089,130784.67956820386
272,20,240996.861645829,349203.186486894,38191.06842241089,130580.48302646591
273,20,240996.861645829,343877.26008404547,38191.06842241089,134957.76680135806
274,20,240996.861645829,343861.7251360598,38191.06842241089,134960.2376683111
275,20,240996.861645829,335873.2038637731,38191.06842241089,144762.26237237162
276,20,240996.861645829,341264.8986213427,38191.06842241089,136210.12149134092
277,20,240996.861645829,348743.723938178,38191.06842241089,131146.67685141735
278,20,240996.861645829,348231.90909772227,38191.06842241089,132125.2650230025
279,20,240996.861645829,344197.3354997615,38191.06842241089,137313.3634622623
280,20,240996.861645829,344010.04348288703,38191.06842241089,137532.77338106828
281,20,240996.861645829,341163.1993763905,38191.06842241089,138395.05990769123
